#,dist(asec),prob_member,link_ref,link_comment,identifier,typ,coord1_(ICRS_J2000/2000),Mag_U,Mag_B,Mag_V,Mag_R,Mag_I,spec_type,#bib,#not,RA,Dec
103,158.99,99,2008A&A...486..941A,B,Cl* NGC 6838 ASC 4,*iC,19 53 35.6 +18 47 22,~,18.55,17.59,~,~,~,1,0,298.398333333,18.7894444444
104,61.59,~,2008A&A...486..941A,B,Cl* NGC 6838 ASC 5871,*iC,19 53 47.5 +18 47 45,~,~,~,~,~,~,1,0,298.447916666,18.7958333333
105,166.38,38,2008A&A...486..941A,B,Cl* NGC 6838 KC 125,*iC,19 53 36.1 +18 48 02,~,16.44,15.32,~,~,~,2,0,298.400416666,18.8005555555
106,181.74,100,2009A&A...505..117C,B,2MASS J19534582+1843435,RG*,19 53 45.827 +18 43 43.60,~,16.039,14.943,~,~,~,1,0,298.440945833,18.7287777777
107,81.13,100,2013AJ....146..133M,B,2MASS J19534827+1848021,RG*,19 53 48.274 +18 48 02.17,~,14.080,12.346,~,~,~,33,0,298.451141666,18.8006027777
108,9.81,~,2008A&A...486..941A,B,Cl* NGC 6838 ASC 10927,*iC,19 53 46.9 +18 46 53,~,~,~,~,~,~,1,0,298.445416666,18.7813888888
109,90.72,80,2008A&A...486..941A,B,Cl* NGC 6838 ASC 792,*iC,19 53 42.1 +18 47 51,~,17.67,16.64,~,~,~,1,0,298.425416666,18.7975000000
110,171.91,90,2008A&A...486..941A,B,2MASS J19534108+1844112,HB*,19 53 41.090 +18 44 11.25,~,15.54,14.48,~,~,G...,19,0,298.421208333,18.7364583333
111,117.33,100,2008ApJ...682.1217K,B,2MASS J19534274+1845004,RG*,19 53 42.750 +18 45 00.48,~,14.94,14.04,~,13.04,~,5,0,298.428124999,18.7501333333
112,73.74,80,2008A&A...486..941A,B,Cl* NGC 6838 ASC 921,*iC,19 53 51.6 +18 46 32,~,17.25,16.53,~,~,~,1,0,298.465,18.7755555555
113,88.8,100,2008ApJ...682.1217K,B,[KGS2008] J195351.8+184732,RG*,19 53 51.8 +18 47 32,~,15.78,14.94,~,14.01,~,1,0,298.465833333,18.7922222222
114,70.47,95,2008A&A...486..941A,B,2MASS J19534575+1847547,RG*,19 53 45.757 +18 47 54.80,~,14.255,12.482,~,~,~,24,0,298.440654166,18.7985555555
115,65.26,~,2008A&A...486..941A,B,Cl* NGC 6838 ASC 1087,*iC,19 53 41.9 +18 46 42,~,~,~,~,~,~,1,0,298.424583333,18.7783333333
116,521.4,100,2011AJ....141...89S,B,[SLB2011b] 298.59664+18.78314,*,19 54 23.191 +18 46 59.27,~,~,~,~,~,~,1,0,298.596629166,18.7831305555
117,37.37,80,2008A&A...486..941A,B,Cl* NGC 6838 ASC 488,*iC,19 53 48.8 +18 47 03,~,17.59,16.83,~,~,~,1,0,298.453333333,18.7841666666
118,136.83,100,2001A&A...373..159C,B,2MASS J19533717+1847201,RG*,19 53 37.177 +18 47 20.19,~,13.29,12.01,~,10.70,~,19,0,298.404904166,18.7889416666
119,65.75,~,2008A&A...486..941A,B,NAME M J,*iC,19 53 50.628 +18 47 14.60,~,~,~,~,~,~,1,0,298.460949999,18.7873888888
120,45.23,80,2010A&A...513A..16H,S,2MASS J19534895+1847138,XB*,19 53 48.950 +18 47 13.83,16.16,15.21,14.87,~,13.61,~,3,0,298.453958333,18.787175
121,114.64,100,2009A&A...505..117C,B,2MASS J19534521+1848383,RG*,19 53 45.218 +18 48 38.31,~,16.028,14.934,~,~,~,1,0,298.438408333,18.8106416666
122,133.88,100,2009MNRAS.393..272W,B,2MASS J19533757+1847286,RG*,19 53 37.574 +18 47 28.60,~,14.447,12.762,~,~,~,32,0,298.406558333,18.7912777777
123,95.93,0,2008A&A...486..941A,B,Cl* NGC 6838 ASC 294,*iC,19 53 41.0 +18 47 41,~,17.14,16.31,~,~,~,1,0,298.420833333,18.7947222222
124,173.99,100,2013AJ....146..133M,B,2MASS J19535764+1847570,RG*,19 53 57.644 +18 47 57.09,~,14.896,13.563,~,~,~,5,0,298.490183333,18.7991916666
125,109.85,80,2008A&A...486..941A,B,Cl* NGC 6838 ASC 328,*iC,19 53 42.5 +18 45 11,~,17.22,16.52,~,~,~,1,0,298.427083333,18.7530555555
126,153.91,94,2008A&A...486..941A,B,Cl* NGC 6838 ASC 640,*iC,19 53 55.605 +18 48 08.37,~,15.46,14.39,~,~,~,3,0,298.481687499,18.802325
127,33.72,94,2008A&A...486..941A,B,Cl* NGC 6838 ASC 5843,*iC,19 53 47.371 +18 47 16.41,~,15.24,14.22,~,~,~,3,0,298.447379166,18.7878916666
128,55.27,94,2008A&A...486..941A,B,Cl* NGC 6838 ZDA 12,*iC,19 53 47.723 +18 47 37.52,~,15.32,14.26,~,~,~,7,0,298.448845833,18.7937555555
